customer,product,week,forecasted week,demand
DreamLand,Dinosaur,0,0,83
DreamLand,Dinosaur,0,1,86
DreamLand,Dinosaur,0,2,89
DreamLand,Dinosaur,0,3,67
DreamLand,Dinosaur,0,4,68
DreamLand,Dinosaur,0,5,63
DreamLand,Dinosaur,0,6,88
DreamLand,Dinosaur,0,7,94
DreamLand,Dinosaur,0,8,94
DreamLand,Dinosaur,0,9,67
DreamLand,Dinosaur,0,10,93
DreamLand,Dinosaur,0,11,50
DreamLand,Dinosaur,0,12,96
DreamLand,Dinosaur,0,13,95
DreamLand,Dinosaur,0,14,112
DreamLand,Dinosaur,0,15,81
DreamLand,Dinosaur,0,16,77
DreamLand,Dinosaur,0,17,76
DreamLand,Dinosaur,0,18,86
DreamLand,Dinosaur,0,19,70
DreamLand,Dinosaur,0,20,77
DreamLand,Dinosaur,0,21,86
DreamLand,Dinosaur,0,22,88
DreamLand,Dinosaur,0,23,81
DreamLand,Dinosaur,0,24,92
DreamLand,Dinosaur,0,25,92
DreamLand,Dinosaur,1,1,85
DreamLand,Dinosaur,1,2,86
DreamLand,Dinosaur,1,3,68
DreamLand,Dinosaur,1,4,70
DreamLand,Dinosaur,1,5,60
DreamLand,Dinosaur,1,6,80
DreamLand,Dinosaur,1,7,92
DreamLand,Dinosaur,1,8,81
DreamLand,Dinosaur,1,9,89
DreamLand,Dinosaur,1,10,82
DreamLand,Dinosaur,1,11,76
DreamLand,Dinosaur,1,12,92
DreamLand,Dinosaur,1,13,90
DreamLand,Dinosaur,1,14,118
DreamLand,Dinosaur,1,15,96
DreamLand,Dinosaur,1,16,88
DreamLand,Dinosaur,1,17,93
DreamLand,Dinosaur,1,18,74
DreamLand,Dinosaur,1,19,96
DreamLand,Dinosaur,1,20,74
DreamLand,Dinosaur,1,21,104
DreamLand,Dinosaur,1,22,94
DreamLand,Dinosaur,1,23,94
DreamLand,Dinosaur,1,24,93
DreamLand,Dinosaur,1,25,98
DreamLand,Dinosaur,1,26,72
DreamLand,Dinosaur,2,2,88
DreamLand,Dinosaur,2,3,68
DreamLand,Dinosaur,2,4,69
DreamLand,Dinosaur,2,5,61
DreamLand,Dinosaur,2,6,80
DreamLand,Dinosaur,2,7,92
DreamLand,Dinosaur,2,8,90
DreamLand,Dinosaur,2,9,77
DreamLand,Dinosaur,2,10,88
DreamLand,Dinosaur,2,11,70
DreamLand,Dinosaur,2,12,96
DreamLand,Dinosaur,2,13,81
DreamLand,Dinosaur,2,14,120
DreamLand,Dinosaur,2,15,80
DreamLand,Dinosaur,2,16,70
DreamLand,Dinosaur,2,17,106
DreamLand,Dinosaur,2,18,91
DreamLand,Dinosaur,2,19,80
DreamLand,Dinosaur,2,20,59
DreamLand,Dinosaur,2,21,78
DreamLand,Dinosaur,2,22,110
DreamLand,Dinosaur,2,23,102
DreamLand,Dinosaur,2,24,76
DreamLand,Dinosaur,2,25,79
DreamLand,Dinosaur,2,26,87
DreamLand,Dinosaur,2,27,110
DreamLand,Dinosaur,3,3,68
DreamLand,Dinosaur,3,4,68
DreamLand,Dinosaur,3,5,64
DreamLand,Dinosaur,3,6,82
DreamLand,Dinosaur,3,7,85
DreamLand,Dinosaur,3,8,90
DreamLand,Dinosaur,3,9,83
DreamLand,Dinosaur,3,10,89
DreamLand,Dinosaur,3,11,63
DreamLand,Dinosaur,3,12,93
DreamLand,Dinosaur,3,13,92
DreamLand,Dinosaur,3,14,106
DreamLand,Dinosaur,3,15,96
DreamLand,Dinosaur,3,16,80
DreamLand,Dinosaur,3,17,90
DreamLand,Dinosaur,3,18,68
